President,File,Term,Party,Words,Year,Date
Richard Nixon,RichardNixon,1,Republican,2128,1969,1/20/69
Richard Nixon,RichardNixon,2,Republican,1803,1973,1/20/73
Jimmy Carter,JimmyCarter,1,Democratic,1229,1977,1/20/77
Ronald Reagan,RonaldReagan,1,Republican,2427,1981,1/20/81
Ronald Reagan,RonaldReagan,2,Republican,2561,1985,1/21/85
George Bush,GeorgeBush,1,Republican,2320,1989,1/20/89
William J. Clinton,WilliamJClinton,1,Democratic,1598,1993,1/20/93
William J. Clinton,WilliamJClinton,2,Democratic,2155,1997,1/20/97
George W. Bush,GeorgeWBush,1,Republican,1592,2001,1/20/01
George W. Bush,GeorgeWBush,2,Republican,2071,2005,1/20/05
Barack Obama,BarackObama,1,Democratic,2395,2009,1/20/09
Barack Obama,BarackObama,2,Democratic,2096,2013,1/21/13
Donald J. Trump,DonaldJTrump,1,Republican,TBD,2017,1/20/17